Start_Date,Start_Time,Heartrate,Risk
2024-10-20,03:27:16,74,0
2024-10-22,03:27:16,78,0
2024-10-23,03:27:16,76,0
2024-10-24,03:27:16,77,0
2024-10-25,03:27:16,76,0
2024-10-26,03:27:16,77,0
2024-10-27,03:27:16,80,0
2024-10-28,03:27:16,78,0
2024-10-29,03:27:16,67,0
2024-10-30,03:27:16,72,0
2024-10-31,03:27:16,69,0
2024-11-01,03:27:16,71,0
2024-11-02,03:27:16,70,0
2024-11-03,03:27:16,71,0
2024-11-04,03:27:16,70,0
2024-11-05,03:27:16,71,0
2024-11-06,03:27:16,70,0
2024-11-07,03:27:16,70,0
2024-11-08,03:27:16,76,0
2024-11-09,03:27:16,73,0
2024-11-10,03:27:16,74,0
2024-11-11,03:27:16,74,0
2024-11-12,03:27:16,74,0
2024-11-13,03:27:16,74,0
2024-11-14,03:27:16,74,0
2024-11-15,03:27:16,100,0
2024-11-16,03:27:16,87,1
2024-11-17,03:27:16,83,1
2024-11-18,03:27:16,85,1
2024-11-19,03:27:16,84,1
2024-11-20,03:27:16,84,1
2024-11-21,03:27:16,84,1
2024-11-22,03:27:16,84,1
2024-11-23,03:27:16,87,1
2024-11-24,03:27:16,86,1
2024-11-25,03:27:16,87,1
2024-11-26,03:27:16,86,1
2024-11-27,03:27:16,86,1
2024-11-28,03:27:16,86,1
2024-11-29,03:27:16,86,1
2024-11-30,03:27:16,86,1
2024-12-01,03:27:16,86,1
2024-12-02,03:27:16,86,1
2024-12-03,03:27:16,86,1
2024-12-04,03:27:16,86,1
2024-12-05,03:27:16,86,1
2024-12-06,03:27:16,86,1
2024-12-07,03:27:16,86,1
2024-12-08,03:27:16,86,1
2024-12-09,03:27:16,77,0
2024-12-10,03:27:16,81,0
2024-12-11,03:27:16,79,0
2024-12-12,03:27:16,80,0
2024-12-13,03:27:16,74,0
2024-12-14,03:27:16,77,0
2024-12-15,03:27:16,76,0
2024-12-16,03:27:16,77,0
2024-12-17,03:27:16,76,0
2024-12-18,03:27:16,76,0
2024-12-19,03:27:16,75,0
2024-12-20,03:27:16,75,0
2024-12-21,03:27:16,75,0
2024-12-22,03:27:16,79,0
2024-12-23,03:27:16,77,0
2024-12-24,03:27:16,82,0
2024-12-25,03:27:16,79,0
2024-12-26,03:27:16,81,0
2024-12-27,03:27:16,80,0
2024-12-28,03:27:16,89,0
2024-12-29,03:27:16,83,1
2024-12-30,03:27:16,86,1
2024-12-31,03:27:16,84,1
2025-01-01,03:27:16,85,1
2025-01-02,03:27:16,85,1
2025-01-03,03:27:16,76,0
2025-01-04,03:27:16,81,0
2025-01-05,03:27:16,79,0
2025-01-06,03:27:16,80,0
2025-01-07,03:27:16,80,0
2025-01-08,03:27:16,80,0
2025-01-09,03:27:16,80,0
2025-01-10,03:27:16,80,0
2025-01-11,03:27:16,80,0
2025-01-12,03:27:16,80,0
2025-01-13,03:27:16,84,0
2025-01-14,03:27:16,82,0
2025-01-15,03:27:16,83,0
2025-01-16,03:27:16,82,0
2025-01-17,03:27:16,83,0
2025-01-18,03:27:16,83,0
2025-01-19,03:27:16,83,0
2025-01-20,03:27:16,74,0
2025-01-21,03:27:16,81,0
