Start_Date,Start_Time,Heartrate,Risk
2027-06-06,03:14:54,94,0
2027-06-07,03:14:54,80,0
2027-06-08,03:14:54,80,0
2027-06-09,03:14:54,80,0
2027-06-10,03:14:54,80,0
2027-06-11,03:14:54,83,0
2027-06-12,03:14:54,86,0
2027-06-13,03:14:54,100,1
2027-06-14,03:14:54,98,1
2027-06-15,03:14:54,80,0
2027-06-16,03:14:54,89,0
2027-06-17,03:14:54,84,0
2027-06-18,03:14:54,80,0
2027-06-19,03:14:54,94,0
2027-06-20,03:14:54,88,1
2027-06-21,03:14:54,80,0
2027-06-22,03:14:54,73,0
2027-06-23,03:14:54,79,0
2027-06-24,03:14:54,76,0
2027-06-25,03:14:54,81,0
2027-06-26,03:14:54,85,0
2027-06-27,03:14:54,88,1
2027-06-28,03:14:54,79,0
2027-06-29,03:14:54,82,0
2027-06-30,03:14:54,80,0
2027-07-01,03:14:54,81,0
2027-07-02,03:14:54,75,0
2027-07-03,03:14:54,78,0
2027-07-04,03:14:54,89,0
2027-07-05,03:14:54,88,1
2027-07-06,03:14:54,79,0
2027-07-07,03:14:54,83,0
2027-07-08,03:14:54,81,0
2027-07-09,03:14:54,85,0
2027-07-10,03:14:54,80,0
2027-07-11,03:14:54,85,0
2027-07-12,03:14:54,83,0
2027-07-13,03:14:54,86,0
2027-07-14,03:14:54,84,0
2027-07-15,03:14:54,85,0
2027-07-16,03:14:54,83,0
2027-07-17,03:14:54,87,0
2027-07-18,03:14:54,85,0
2027-07-19,03:14:54,90,0
2027-07-20,03:14:54,85,0
2027-07-21,03:14:54,88,0
2027-07-22,03:14:54,86,0
2027-07-23,03:14:54,75,0
2027-07-24,03:14:54,90,0
2027-07-25,03:14:54,82,0
2027-07-26,03:14:54,86,0
2027-07-27,03:14:54,84,0
2027-07-28,03:14:54,85,0
2027-07-29,03:14:54,85,0
2027-07-30,03:14:54,94,0
2027-07-31,03:14:54,89,1
2027-08-01,03:14:54,88,1
2027-08-02,03:14:54,80,0
2027-08-03,03:14:54,79,0
2027-08-04,03:14:54,72,0
2027-08-05,03:14:54,75,0
2027-08-06,03:14:54,82,0
2027-08-07,03:14:54,83,0
2027-08-08,03:14:54,76,0
2027-08-09,03:14:54,88,0
2027-08-10,03:14:54,82,0
2027-08-11,03:14:54,85,0
2027-08-12,03:14:54,84,0
2027-08-13,03:14:54,81,0
2027-08-14,03:14:54,79,0
2027-08-15,03:14:54,91,0
2027-08-16,03:14:54,92,1
2027-08-17,03:14:54,91,1
2027-08-18,03:14:54,92,1
2027-08-19,03:14:54,92,1
2027-08-20,03:14:54,92,1
2027-08-21,03:14:54,92,1
2027-08-22,03:14:54,92,1
2027-08-23,03:14:54,92,1
2027-08-24,03:14:54,92,1
2027-08-25,03:14:54,92,1
2027-08-26,03:14:54,92,1
2027-08-27,03:14:54,92,1
2027-08-28,03:14:54,92,1
2027-08-29,03:14:54,92,1
2027-08-30,03:14:54,92,1
2027-08-31,03:14:54,92,1
2027-09-01,03:14:54,92,1
2027-09-02,03:14:54,92,1
2027-09-03,03:14:54,100,1
2027-09-04,03:14:54,80,0
2027-09-05,03:14:54,79,0
2027-09-06,03:14:54,86,0
2027-09-07,03:14:54,82,0
2027-09-08,03:14:54,84,0
2027-09-09,03:14:54,83,0
2027-09-10,03:14:54,92,0
2027-09-11,03:14:54,84,0
2027-09-12,03:14:54,78,0
2027-09-13,03:14:54,91,0
